Date,Close/Last,volume,open,High,Low
11/15/2019, $149.97,23508810, $148.93, $149.99, $148.27
11/14/2019, $148.06,19755100, $147.02, $148.41, $147
11/13/2019, $147.31,17444230, $146.74, $147.4625, $146.28
11/12/2019, $147.07,18648710, $146.28, $147.57, $146.06
11/11/2019, $146.11,14370180, $145.34, $146.42, $144.73
11/08/2019, $145.96,16752940, $143.98, $145.99, $143.76
11/07/2019, $144.26,17786720, $143.84, $144.88, $143.77
11/06/2019, $144.06,16575800, $144.37, $144.52, $143.2
11/05/2019, $144.46,18250170, $144.97, $145.02, $143.905
11/04/2019, $144.55,16912000, $144.83, $145, $144.16
11/01/2019, $143.72,33128370, $144.26, $144.42, $142.965
10/31/2019, $143.37,24605140, $144.9, $144.93, $142.99
10/30/2019, $144.61,18496590, $143.52, $145, $142.79
10/29/2019, $142.83,20589470, $144.08, $144.5, $142.65
10/28/2019, $144.19,35280140, $144.4, $145.67, $143.51
10/25/2019, $140.73,25959720, $139.34, $141.14, $139.2
10/24/2019, $139.94,37278400, $139.39, $140.42, $138.67
10/23/2019, $137.24,31380310, $136.88, $137.45, $135.61
10/22/2019, $136.37,27935270, $138.97, $140.01, $136.26
10/21/2019, $138.43,20716040, $138.45, $138.5, $137.01
10/18/2019, $137.41,32284430, $139.76, $140, $136.56
10/17/2019, $139.69,22102800, $140.95, $141.42, $139.02
10/16/2019, $140.41,20841690, $140.79, $140.99, $139.53
10/15/2019, $141.575,19917760, $140.06, $141.79, $139.81
10/14/2019, $139.55,13591640, $139.69, $140.29, $139.52
10/11/2019, $139.68,25551070, $140.12, $141.03, $139.5
10/10/2019, $139.1,18396610, $138.49, $139.6699, $138.25
10/09/2019, $138.24,20178480, $137.46, $138.7, $136.97
10/08/2019, $135.67,26783340, $137.08, $137.76, $135.62
10/07/2019, $137.12,16601280, $137.14, $138.18, $137.02
10/04/2019, $138.12,23839550, $136.75, $138.25, $136.42
10/03/2019, $136.28,26379800, $134.95, $136.75, $133.22
10/02/2019, $134.65,32001760, $136.25, $136.37, $133.5799
10/01/2019, $137.07,22581930, $139.66, $140.25, $137
09/30/2019, $139.03,18430390, $138.05, $139.215, $137.78
09/27/2019, $137.73,22498960, $140.15, $140.36, $136.645
09/26/2019, $139.54,17813510, $139.44, $140.18, $138.44
09/25/2019, $139.36,22544050, $137.5, $139.958, $136.03
09/24/2019, $137.38,30016670, $140.36, $140.69, $136.88
09/23/2019, $139.14,17408370, $139.23, $139.63, $138.44
09/20/2019, $139.44,40040770, $141.01, $141.65, $138.25
09/19/2019, $141.07,36095410, $140.3, $142.37, $140.0736
09/18/2019, $138.52,24473390, $137.36, $138.67, $136.5299
09/17/2019, $137.39,17976290, $136.96, $137.52, $136.425
09/16/2019, $136.33,16731440, $135.83, $136.7, $135.66
09/13/2019, $137.32,23363060, $137.78, $138.06, $136.57
09/12/2019, $137.52,27009980, $137.85, $138.42, $136.87
09/11/2019, $136.12,24726120, $135.91, $136.27, $135.09
09/10/2019, $136.08,28903380, $136.8, $136.8862, $134.51
09/09/2019, $137.52,25773930, $139.59, $139.75, $136.46
09/06/2019, $139.1,20824500, $140.03, $140.18, $138.2
09/05/2019, $140.05,26119520, $139.11, $140.3837, $138.76
09/04/2019, $137.63,18015310, $137.3, $137.69, $136.48
09/03/2019, $136.04,18880770, $136.61, $137.2, $135.7
08/30/2019, $137.86,23946120, $139.15, $139.18, $136.27
08/29/2019, $138.12,20179720, $137.25, $138.44, $136.91
08/28/2019, $135.56,17410830, $134.88, $135.76, $133.55
08/27/2019, $135.74,23115640, $136.39, $136.72, $134.66
08/26/2019, $135.45,20325270, $134.99, $135.56, $133.9
08/23/2019, $133.39,38515390, $137.19, $138.35, $132.8
08/22/2019, $137.78,18709660, $138.66, $139.2, $136.29
08/21/2019, $138.79,14982310, $138.55, $139.4935, $138
08/20/2019, $137.26,21189000, $138.21, $138.71, $137.24
08/19/2019, $138.41,24370540, $137.855, $138.55, $136.885
08/16/2019, $136.13,25026150, $134.88, $136.46, $134.72
08/15/2019, $133.68,28125420, $134.39, $134.58, $132.25
08/14/2019, $133.98,32527250, $136.36, $136.92, $133.67
08/13/2019, $138.6,25496590, $136.05, $138.8, $135
08/12/2019, $135.79,20484350, $137.07, $137.86, $135.24
08/09/2019, $137.71,23466700, $138.61, $139.38, $136.46
08/08/2019, $138.89,27496510, $136.6, $138.99, $135.93
08/07/2019, $135.28,33414540, $133.79, $135.65, $131.8284
08/06/2019, $134.69,32696650, $133.8, $135.68, $133.21
08/05/2019, $132.21,42749550, $133.3, $133.9298, $130.78
08/02/2019, $136.9,30791620, $138.09, $138.32, $135.26
08/01/2019, $138.06,40557500, $137, $140.9383, $136.93
07/31/2019, $136.27,38598790, $140.33, $140.49, $135.08
07/30/2019, $140.35,16846530, $140.14, $141.2199, $139.8005
07/29/2019, $141.03,16605870, $141.5, $141.51, $139.3663
07/26/2019, $141.34,19037600, $140.37, $141.675, $140.3
07/25/2019, $140.19,18356880, $140.43, $140.61, $139.3215
07/24/2019, $140.72,20738280, $138.9, $140.74, $138.85
07/23/2019, $139.29,18034590, $139.76, $139.99, $138.03
07/22/2019, $138.43,25080760, $137.41, $139.19, $137.33
07/19/2019, $136.62,48992360, $140.22, $140.67, $136.45
07/18/2019, $136.42,30808710, $135.55, $136.62, $134.67
07/17/2019, $136.27,20210960, $137.7, $137.93, $136.22
07/16/2019, $137.08,22726130, $138.96, $139.05, $136.52
07/15/2019, $138.9,16651460, $139.44, $139.54, $138.46
07/12/2019, $138.9,18936830, $138.85, $139.13, $138.0099
07/11/2019, $138.4,22327940, $138.2, $139.22, $137.87
07/10/2019, $137.85,24204360, $137.13, $138.58, $137.02
07/09/2019, $136.46,19953100, $136, $136.97, $135.8
07/08/2019, $136.96,16779750, $136.4, $137.1, $135.3701
07/05/2019, $137.06,18141140, $135.94, $137.33, $135.72
07/03/2019, $137.46,13629300, $136.8, $137.74, $136.295
07/02/2019, $136.58,15237840, $136.12, $136.59, $135.34
07/01/2019, $135.68,22654160, $136.63, $136.7, $134.97
06/28/2019, $133.96,30042970, $134.57, $134.6, $133.1558
06/27/2019, $134.15,16557480, $134.14, $134.71, $133.51
06/26/2019, $133.93,23657750, $134.35, $135.74, $133.6
06/25/2019, $133.43,33327420, $137.25, $137.59, $132.73
06/24/2019, $137.78,20628840, $137, $138.4, $137
06/21/2019, $136.97,36727890, $136.58, $137.73, $136.46
06/20/2019, $136.95,33042590, $137.45, $137.66, $135.72
06/19/2019, $135.69,23744440, $135, $135.93, $133.81
06/18/2019, $135.16,25934460, $134.19, $135.24, $133.57
06/17/2019, $132.85,14517790, $132.63, $133.73, $132.53
06/14/2019, $132.45,17821700, $132.26, $133.79, $131.64
06/13/2019, $132.32,17200850, $131.98, $132.67, $131.56
06/12/2019, $131.49,17092460, $131.4, $131.97, $130.71
06/11/2019, $132.1,23913730, $133.88, $134.24, $131.2757
06/10/2019, $132.6,26477100, $132.4, $134.08, $132
06/07/2019, $131.4,33885590, $129.19, $132.25, $128.26
06/06/2019, $127.82,21458960, $126.44, $127.97, $125.6
06/05/2019, $125.83,24926140, $124.95, $125.87, $124.21
06/04/2019, $123.16,29382640, $121.28, $123.28, $120.6522
06/03/2019, $119.84,37983640, $123.85, $124.37, $119.01
05/31/2019, $123.68,26646770, $124.23, $124.615, $123.32
05/30/2019, $125.73,16829610, $125.26, $125.76, $124.78
05/29/2019, $124.94,22763140, $125.38, $125.39, $124.04
05/28/2019, $126.16,23128360, $126.98, $128, $126.05
05/24/2019, $126.24,14123360, $126.91, $127.415, $125.97
05/23/2019, $126.18,23603810, $126.2, $126.29, $124.74
05/22/2019, $127.67,15396490, $126.62, $128.24, $126.52
05/21/2019, $126.9,15293260, $127.43, $127.5273, $126.58
05/20/2019, $126.22,23706930, $126.52, $127.5894, $125.7607
05/17/2019, $128.07,25770540, $128.305, $130.46, $127.92
05/16/2019, $128.93,30112220, $126.75, $129.38, $126.46
